corp_code,corp_name,stock_code,start_date,end_date,filings,processed_filings,skipped_filings,match_count,matched_filing_count,total_count,has_backlog_keyword,has_backlog_total,latest_total_period,latest_total_eok,status
00361114,씨유전자,056340,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00330406,씨제이엔터테인먼트,049370,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00838421,씨제이이앤엠,130960,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00248691,씨제이인터넷,037150,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00788773,씨젠,096530,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00140353,씨크롭,016970,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00961136,씨티네트웍스,189540,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00362292,씨티씨바이오,060590,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00450010,씨티알모빌리티,308170,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00334493,씨티앤티,050470,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00355821,씨티엘테크,088960,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01601222,씨피시스템,413630,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138446,아가방컴퍼니,013990,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00537443,아구스,078670,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00161781,아난티,025980,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00264857,아라온테크,041060,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01381805,아로마티카,000150,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00907660,아루히,950100,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00441128,아리온테크놀로지,058220,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00611912,아모그린텍,125210,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00583424,아모레퍼시픽,090430,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00154462,아모레퍼시픽홀딩스,002790,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01012987,아모센스,357580,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00298447,아모텍,052710,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00545734,아미코젠,092040,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00442048,아바텍,149950,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138598,아비코전자,036010,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138701,아세아,002030,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00990165,아세아시멘트,183190,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138747,아세아텍,050860,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00149248,아세아페이퍼텍,009380,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00145437,아센디오,012170,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01157235,아스타,246720,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01590528,아스테라시스,450950,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00318538,아스팩오일,232360,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00665676,아시아경제,127710,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00355292,아시아미디어홀딩스,052810,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00867478,아시아종묘,154030,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00533580,아시아퍼시픽10호선박투자회사,083570,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00533793,아시아퍼시픽11호선박투자회사,083580,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00533836,아시아퍼시픽12호선박투자회사,083590,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00533757,아시아퍼시픽13호선박투자회사,083600,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00533696,아시아퍼시픽14호선박투자회사,083610,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
